m,CYm,n,Mo_m,tn,tn_Mo
3.0,1978,15,3.9810717055349857e+20,0.3333333333333333,1.3270239018449951e+20
3.1,1978,14,5.6234132519034906e+20,0.3111111111111111,1.7495063450366414e+20
3.2,1978,51,7.943282347242853e+20,1.1333333333333333,9.002386660208567e+20
3.3,1978,37,1.1220184543019653e+21,0.8222222222222222,9.225485068705048e+20
3.4,1978,30,1.5848931924611238e+21,0.6666666666666666,1.0565954616407492e+21
3.5,1975,53,2.238721138568347e+21,1.1041666666666667,2.471921257169217e+21
3.6,1975,21,3.1622776601683794e+21,0.4375,1.383496476323666e+21
3.7,1975,26,4.466835921509653e+21,0.5416666666666666,2.419536124151062e+21
3.8,1975,71,6.309573444801943e+21,1.4791666666666667,9.332910720436208e+21
3.9,1975,18,8.912509381337513e+21,0.375,3.3421910180015673e+21
4.0,1908,9,1.2589254117941714e+22,0.0782608695652174,9.852459744476125e+20
4.1,1908,29,1.7782794100389228e+22,0.25217391304347825,4.484356773141631e+21
4.2,1908,6,2.5118864315095924e+22,0.05217391304347826,1.310549442526744e+21
4.3,1908,36,3.5481338923357603e+22,0.3130434782608696,1.1107201749920642e+22
4.4,1908,9,5.0118723362727555e+22,0.0782608695652174,3.922334871865635e+21
4.5,1883,2,7.079457843841402e+22,0.014285714285714285,1.0113511205487717e+21
4.6,1883,8,1.0000000000000001e+23,0.05714285714285714,5.714285714285715e+21
4.7,1883,0,1.4125375446227613e+23,0.0,0.0
4.8,1883,1,1.9952623149688827e+23,0.007142857142857143,1.4251873678349162e+21
4.9,1883,11,2.8183829312644722e+23,0.07857142857142857,2.2144437317077997e+22
5.0,1800,1,3.9810717055349855e+23,0.004484304932735426,1.785233948670397e+21
5.1,1800,4,5.623413251903491e+23,0.017937219730941704,1.0086839913728235e+22
5.2,1800,2,7.943282347242854e+23,0.008968609865470852,7.124020042370273e+21
5.3,1800,1,1.1220184543019652e+24,0.004484304932735426,5.031472889246481e+21
5.4,1800,3,1.584893192461124e+24,0.013452914798206279,2.1321433082436646e+22
5.5,1520,1,2.238721138568347e+24,0.0019880715705765406,4.4507378500364743e+21
5.6,1520,0,3.1622776601683796e+24,0.0,0.0
5.7,1520,0,4.466835921509653e+24,0.0,0.0
5.8,1520,0,6.309573444801943e+24,0.0,0.0
5.9,1520,0,8.912509381337514e+24,0.0,0.0
6.0,1520,0,1.2589254117941714e+25,0.0,0.0
6.1,1520,0,1.7782794100389228e+25,0.0,0.0
6.2,1520,0,2.5118864315095924e+25,0.0,0.0
6.3,1520,1,3.5481338923357606e+25,0.0019880715705765406,7.05394411995181e+22
6.4,1520,0,5.0118723362727555e+25,0.0,0.0
6.5,1520,1,7.0794578438414025e+25,0.0019880715705765406,1.4074468874436186e+23
