m,Zone,M01,M02,P01,P02
4.5,2.1651887071106746,0.25204212364826684,0.3179092038315853,0.057714192019500815,0.08075415747628303
4.6,1.5740700300854222,0.22672343005543472,0.28564404305534546,0.05196458480121033,0.07260249784900052
4.7,1.1029952715641451,0.2038370265673583,0.2564784984183293,0.0467673249104786,0.06523394343905789
4.8,0.7275860064862271,0.18314925045053154,0.23011479919882297,0.04206935001475337,0.058573263703293854
4.9,0.4284145612813684,0.16444888624158463,0.2062837806052439,0.03782269531883881,0.052552455268663256
5.0,0.18999861912983884,0.14754500930612105,0.18474213569119072,0.033984003859941804,0.047110047639922874
5.1,,0.13226503656031796,0.16526993127068013,0.030514083847187925,0.04219047560587436
5.2,,0.11845296445379097,0.14766836247187462,0.027377508526187994,0.03774351193663646
5.3,,0.10596777622409963,0.13175772300402097,0.02454225448340154,0.033723754579968956
5.4,,0.09468200216148386,0.11737557041469052,0.021979374697503676,0.03009016312109123
5.5,,0.08448041818459905,0.10437506760518987,0.019662702999715165,0.026805639773399746
5.6,,0.07525886944013363,0.09262348367155664,0.017568586925732335,0.023836650622136527
5.7,,0.06692320691564417,0.08200083876521476,0.015675646231761993,0.02115288325402993
5.8,,0.059388326208769465,0.07239867913775563,0.013964554609188329,0.018726937277417244
5.9,,0.05257729863897095,0.06371896986345223,0.012417842369249702,0.016534044573160458
6.0,,0.04642058583073379,0.055873093934563675,0.011019718083200307,0.014551816420208355
6.1,,0.040855329749376675,0.04878094751051717,0.00975590735696028,0.0127600149140386
6.2,,0.035824710940969035,0.04237012208375818,0.008613507094196447,0.011140346344237112
6.3,,0.03127736842419249,0.03657516521244616,0.007580853759906737,0.009676274421666556
6.4,,0.027166875311431797,0.03133691227231825,0.006647404299522529,0.008352851448334303
6.5,,0.023451264805357565,0.02660188240512515,0.005803628497751759,0.0071565657062592535
6.6,,0.020092601731579323,0.022321732496468166,0.00504091167818141,0.006075203507227244
6.7,,0.01705659523285718,0.018452763608329672,0.00435146675023412,0.0050977244950081045
6.8,,0.0143122486706061,0.014955474827133622,0.003728254705506954,0.0042141489269105865
6.9,,0.011831543159300562,0.011794159972269338,0.0031649127517857207,0.0034154557838563387
7.0,,0.009589151502769469,0.008936543047604734,0.002655689351006639,0.002693490668710169
7.1,,0.0075621796117633765,0.006353448714066701,0.0021953854979239523,0.0020408825525383054
7.2,,0.005729932762751831,0.004018504418921358,0.0017793016399578678,0.0014509685188011376
7.3,,0.004073704311529255,0.0019078711405910802,0.0014031896962917333,0.0009177257371431649
7.4,,0.0025765847044637866,,0.0010632096863490098,0.0004357099722545831
7.5,,0.0012232888374561909,,0.0007558905248409146,
7.6,,,,0.00047809458311496406,
7.7,,,,0.00022698565498723824,
