m,CYm,n
3.5,1992,21
3.6,1992,25
3.7,1992,51
3.8,1992,68
3.9,1992,17
4,1985,74
4.1,1985,52
4.2,1985,41
4.3,1985,51
4.4,1985,29
4.5,1975,26
4.6,1975,31
4.7,1975,17
4.8,1975,11
4.9,1975,14
5,1963,7
5.1,1963,4
5.2,1963,5
5.3,1963,2
5.4,1963,7
5.5,1950,0
5.6,1950,1
5.7,1950,0
5.8,1950,2
5.9,1950,1
6,1915,1
6.1,1915,0
6.2,1915,0
6.3,1915,0
6.4,1915,2
6.5,1900,0
6.6,1900,0
6.7,1900,1
6.8,1900,0
6.9,1900,0
7,1830,0
7.1,1830,0
7.2,1830,0
7.3,1830,0
7.4,1830,1
7.5,1765,1
7.6,1765,0
7.7,1765,1
