m,CYm,n,Mo_m,tn,tn_Mo
3.5,1992,21,2.238721138568347e+21,0.75,1.6790408539262602e+21
3.6,1992,25,3.1622776601683794e+21,0.8928571428571429,2.8234621965789105e+21
3.7,1992,51,4.466835921509653e+21,1.8214285714285714,8.136022571321153e+21
3.8,1992,68,6.309573444801943e+21,2.4285714285714284,1.5323249794519004e+22
3.9,1992,17,8.912509381337513e+21,0.6071428571428571,5.411166410097776e+21
4.0,1985,74,1.2589254117941714e+22,2.1142857142857143,2.6617280135076765e+22
4.1,1985,52,1.7782794100389228e+22,1.4857142857142858,2.6420151234863997e+22
4.2,1985,41,2.5118864315095924e+22,1.1714285714285715,2.942495534054094e+22
4.3,1985,51,3.5481338923357603e+22,1.457142857142857,5.170137957403536e+22
4.4,1985,29,5.0118723362727555e+22,0.8285714285714286,4.15269422148314e+22
4.5,1975,26,7.079457843841402e+22,0.5777777777777777,4.090353420886143e+22
4.6,1975,31,1.0000000000000001e+23,0.6888888888888889,6.888888888888889e+22
4.7,1975,17,1.4125375446227613e+23,0.37777777777777777,5.336252946352653e+22
4.8,1975,11,1.9952623149688827e+23,0.24444444444444444,4.8773078810350464e+22
4.9,1975,14,2.8183829312644722e+23,0.3111111111111111,8.768302452822803e+22
5.0,1963,7,3.9810717055349855e+23,0.12280701754385964,4.889035427849982e+22
5.1,1963,4,5.623413251903491e+23,0.07017543859649122,3.946254913616484e+22
5.2,1963,5,7.943282347242854e+23,0.08771929824561403,6.9677915326691695e+22
5.3,1963,2,1.1220184543019652e+24,0.03508771929824561,3.9369068571998774e+22
5.4,1963,7,1.584893192461124e+24,0.12280701754385964,1.9463600609171697e+23
5.5,1950,0,2.238721138568347e+24,0.0,0.0
5.6,1950,1,3.1622776601683796e+24,0.014285714285714285,4.517539514526257e+22
5.7,1950,0,4.466835921509653e+24,0.0,0.0
5.8,1950,2,6.309573444801943e+24,0.02857142857142857,1.802735269943412e+23
5.9,1950,1,8.912509381337514e+24,0.014285714285714285,1.2732156259053592e+23
6.0,1915,1,1.2589254117941714e+25,0.009523809523809525,1.1989765826611158e+23
6.1,1915,0,1.7782794100389228e+25,0.0,0.0
6.2,1915,0,2.5118864315095924e+25,0.0,0.0
6.3,1915,0,3.5481338923357606e+25,0.0,0.0
6.4,1915,2,5.0118723362727555e+25,0.01904761904761905,9.546423497662393e+23
6.5,1900,0,7.0794578438414025e+25,0.0,0.0
6.6,1900,0,1e+26,0.0,0.0
6.7,1900,1,1.4125375446227612e+26,0.008333333333333333,1.1771146205189676e+24
6.8,1900,0,1.995262314968883e+26,0.0,0.0
6.9,1900,0,2.8183829312644723e+26,0.0,0.0
7.0,1830,0,3.9810717055349854e+26,0.0,0.0
7.1,1830,0,5.623413251903491e+26,0.0,0.0
7.2,1830,0,7.943282347242854e+26,0.0,0.0
7.3,1830,0,1.1220184543019653e+27,0.0,0.0
7.4,1830,1,1.5848931924611239e+27,0.005263157894736842,8.341543118216441e+24
7.5,1765,1,2.238721138568347e+27,0.00392156862745098,8.779298582620968e+24
7.6,1765,0,3.1622776601683794e+27,0.0,0.0
7.7,1765,1,4.466835921509653e+27,0.00392156862745098,1.7517003613763345e+25
